"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.28360997010822,0.986,0.652,0,"0","C3"
0,2.08482175323294,0.99,0.742,0,"0","HLA-DPB1"
0,1.93676817605629,0.993,0.785,0,"0","TIMP1"
0,2.04423408602628,0.992,0.793,0,"0","C1QA"
0,2.25676318883916,0.998,0.854,0,"0","IGLC2"
0,1.43759189358121,1,0.996,0,"0","CD74"
9.88131291682493e-324,1.68395414796776,0.996,0.848,1.99869316368618e-319,"0","HLA-DRB5"
2.36953883745462e-320,1.61536494625486,0.991,0.801,4.79286620651946e-316,"0","CYBA"
6.33219333805563e-317,1.43422829154386,1,0.938,1.28081274648851e-312,"0","HLA-DRB1"
9.1659755446655e-315,1.55559159285336,1,0.951,1.85400187341949e-310,"0","HLA-DRA"
1.67204690644507e-313,2.38922987967447,0.999,0.989,3.38204927766644e-309,"0","IGHG4"
2.15319148141252e-313,1.92692635406095,0.993,0.79,4.3552604094531e-309,"0","C1QB"
2.04401451249537e-300,2.44664120140835,0.983,0.768,4.13442815442437e-296,"0","IGHG1"
7.6567003209304e-298,1.91537300338601,0.992,0.73,1.54872077391459e-293,"0","HLA-DPA1"
3.3383202645783e-292,2.04263600201363,1,0.987,6.75242039916252e-288,"0","IGKC"
1.29229739902123e-289,2.00347650755359,0.998,0.892,2.61392994900024e-285,"0","IGHG3"
1.45752718384771e-289,3.32535656551838,0.68,0.174,2.94814023476875e-285,"0","CCL19"
2.73245932244271e-277,0.671100648506805,1,1,5.52694547150486e-273,"0","TMSB10"
2.84359603176901e-275,2.51332230070562,0.849,0.376,5.75174169345918e-271,"0","IGLC3"
2.53205208261206e-270,2.04856662172276,0.879,0.505,5.12158174749941e-266,"0","IL32"
1.14169304921627e-268,0.599705354367469,1,1,2.30930253064975e-264,"0","RPS15"
2.89932844686426e-261,1.04217269215048,0.999,0.964,5.86447164947234e-257,"0","HLA-E"
9.77172195253044e-261,1.43210807280163,1,0.991,1.97652619933833e-256,"0","APOE"
1.29941849305033e-258,1.79402273426148,0.894,0.521,2.62833378589291e-254,"0","GSTP1"
7.30644821293449e-256,1.96064835902273,0.988,0.707,1.47787528003026e-251,"0","LYZ"
1.89153883739694e-248,1.23769351855186,0.999,0.914,3.82601560640279e-244,"0","VIM"
4.8583459352057e-248,0.843623373080202,1,1,9.82697632314057e-244,"0","CST3"
1.28268791900947e-247,2.85973778804271,0.666,0.216,2.59449285378046e-243,"0","TRBC2"
1.73226550927036e-247,1.20324786242606,1,0.999,3.50385344560115e-243,"0","TMSB4X"
9.82247293676427e-245,1.64862396593273,0.921,0.598,1.98679160091931e-240,"0","TXNIP"
1.40979804930165e-240,2.49599443086216,0.734,0.315,2.85159851432245e-236,"0","CD52"
4.12252364179306e-240,1.5618378721977,0.988,0.801,8.33862857025482e-236,"0","TYROBP"
2.80237657695062e-233,1.57265765545477,0.934,0.631,5.66836710219801e-229,"0","SERPING1"
1.74253603827506e-228,1.62812040581298,0.927,0.631,3.52462764461896e-224,"0","HLA-DQB1"
6.69372722397952e-223,1.41420876127399,0.997,0.902,1.35394020559434e-218,"0","IGFBP7"
1.98682304541552e-221,0.661351883425944,1,1,4.01874697396198e-217,"0","RPS9"
3.1484404335178e-221,2.80908182428046,0.584,0.161,6.36835046487645e-217,"0","LTB"
1.0663993978408e-220,3.0879374350267,0.744,0.332,2.15700606201258e-216,"0","IGHM"
2.06662373664237e-218,1.81620594459791,0.881,0.559,4.18015983210653e-214,"0","HLA-DQA1"
1.03440024057777e-209,1.97345438994565,0.803,0.455,2.09228136661665e-205,"0","CORO1A"
1.03082978174979e-207,2.53634558123048,0.882,0.581,2.08505939954529e-203,"0","IGHA1"
2.19914429518524e-207,0.631468587304701,1,1,4.44820916587119e-203,"0","FAU"
4.40795573434855e-207,2.67856094023261,0.871,0.526,8.91597206386682e-203,"0","IGLC1"
5.85643628634388e-205,1.00586715511541,1,1,1.18458136763878e-200,"0","FTL"
1.11638225523441e-197,1.46828919105186,0.933,0.653,2.25810638766264e-193,"0","A2M"
8.49044608320323e-197,1.22031204186969,0.983,0.821,1.71736252924952e-192,"0","COL6A2"
9.43222834412684e-195,1.67135812909039,0.898,0.632,1.90785682716654e-190,"0","C1QC"
2.35067285946872e-194,1.66403051979687,0.833,0.481,4.75470599284739e-190,"0","C1R"
1.57706010895253e-191,2.78287602854921,0.523,0.139,3.18991948237827e-187,"0","TRBC1"
8.04399387514825e-191,0.615021323680533,1,0.999,1.62705864112624e-186,"0","HLA-A"
1.58133372665047e-189,0.468000252687984,1,1,3.1985637288959e-185,"0","RPL28"
6.16524608317729e-189,0.492728216678906,1,1,1.24704432524427e-184,"0","RPS28"
6.5307474865603e-188,2.18194669752011,0.666,0.269,1.32097429410655e-183,"0","CCDC80"
1.68217646853872e-187,0.495908860905269,1,1,3.40253834291327e-183,"0","RPL36"
7.06820558182175e-184,2.07815072576276,0.699,0.334,1.42968594303509e-179,"0","CCL5"
9.20214856416913e-180,0.999355384444279,0.993,0.932,1.86131859007449e-175,"0","TYMP"
2.42455736557041e-179,1.26702926513616,0.953,0.753,4.90415218333928e-175,"0","LAPTM5"
3.37273366165107e-178,2.29509292995457,0.612,0.231,6.82202837742162e-174,"0","LIMD2"
5.394712218394e-178,2.53034899006341,0.572,0.192,1.09118844041455e-173,"0","TRAC"
1.09396939215849e-177,0.524416860965788,1,0.999,2.21277188951898e-173,"0","RPS11"
8.954384953298e-174,0.932447293441599,0.996,0.931,1.81120344450359e-169,"0","SH3BGRL3"
2.19934414677141e-171,2.69145361868797,0.508,0.144,4.44861340567453e-167,"0","PTGDS"
2.20738789843596e-168,1.30876007631942,0.939,0.676,4.46488350216641e-164,"0","DCN"
4.83140097494311e-166,1.26265055047203,0.905,0.655,9.77247475201743e-162,"0","GSN"
2.65227269075453e-165,0.459112021751068,1,1,5.36475197158919e-161,"0","RPL18A"
1.01205341945346e-164,1.19915883050946,0.941,0.701,2.04708045152851e-160,"0","BGN"
7.74778886977894e-163,0.776836356398061,1,1,1.56714525469019e-158,"0","PSAP"
1.76380173078337e-161,0.499228024258682,1,1,3.56764176085553e-157,"0","RPLP2"
2.79686542309002e-161,1.34331041009491,0.927,0.651,5.65721969128419e-157,"0","SFRP2"
2.79491062902912e-155,2.27179615440411,0.53,0.175,5.6532657293372e-151,"0","FYB1"
3.72504100140801e-153,1.37333621013992,0.842,0.544,7.53464043354797e-149,"0","SERPINF1"
6.20996603657576e-153,2.53628272300231,0.494,0.149,1.25608983021818e-148,"0","SFRP4"
1.376558618321e-151,0.690132537041627,0.999,0.979,2.78436511727788e-147,"0","EEF1G"
9.0880977486685e-150,1.19494265885807,0.997,0.952,1.83824953162318e-145,"0","APOC1"
1.6151639368164e-148,2.06747082213673,0.582,0.231,3.26699209499853e-144,"0","HCST"
8.25952699706266e-147,0.546248292476103,1,0.999,1.67065452569586e-142,"0","RPS3"
3.03361514890211e-144,2.45716948633,0.452,0.127,6.1360933616843e-140,"0","CD2"
5.07634120954369e-144,1.83414198384588,0.664,0.345,1.0267915364544e-139,"0","FXYD5"
1.08262319646797e-143,1.59934301975848,0.755,0.461,2.18982193949576e-139,"0","C1S"
5.03907868616688e-143,0.523112531763492,1,1,1.01925444585097e-138,"0","EEF1A1"
1.65968220427715e-142,1.74514656051032,0.687,0.379,3.35703919459139e-138,"0","LSP1"
1.11131785181105e-141,0.998343015178956,0.953,0.803,2.24786261885821e-137,"0","FLNA"
6.22376401939179e-141,2.53614566937176,0.417,0.106,1.25888074820238e-136,"0","TBC1D10C"
1.89538630253686e-140,2.97980468437117,0.332,0.059,3.83379787414131e-136,"0","IL7R"
2.31079849840139e-140,2.3154056167067,0.493,0.163,4.67405212271649e-136,"0","PTPRC"
1.38555601553274e-139,1.5442302250289,0.754,0.451,2.80256415261807e-135,"0","EMILIN1"
1.62181449581861e-138,3.40472715220353,0.366,0.079,3.28044418069229e-134,"0","CCL21"
1.72652355447975e-134,0.472618508299107,1,1,3.49223919364619e-130,"0","B2M"
1.30820052328689e-131,2.21656838397555,0.581,0.249,2.6460971984524e-127,"0","JCHAIN"
3.78975598003849e-131,2.06907736813267,0.527,0.202,7.66553942082385e-127,"0","GMFG"
1.87328455654153e-130,1.62849274670013,0.749,0.48,3.78909267251656e-126,"0","ENG"
5.29670866749047e-130,0.697780608295307,0.998,0.961,1.0713652621733e-125,"0","LGALS1"
1.11041982906164e-129,1.36454776896029,0.795,0.544,2.24604618824297e-125,"0","HLA-DMA"
6.9416651562246e-127,2.53653333847194,0.376,0.093,1.40409061114955e-122,"0","SPOCK2"
1.67451803171087e-126,1.50460460285165,0.759,0.505,3.38704762274158e-122,"0","ITGB2"
2.72902385987366e-126,1.06925616245163,0.926,0.72,5.51999656136644e-122,"0","COL6A1"
2.1032140612474e-125,1.35411449128068,0.82,0.579,4.25417108168512e-121,"0","CD68"
2.76736905465342e-125,2.51882400424379,0.356,0.08,5.59755738684747e-121,"0","FOLR2"
3.32176620097762e-125,1.16769493283431,0.949,0.791,6.71893649471743e-121,"0","SELENOP"
9.79727105396704e-123,1.54152949384816,0.724,0.48,1.98169401608591e-118,"0","CD14"
1.22543489311063e-122,1.90238166543297,0.545,0.227,2.47868715829487e-118,"0","NCF1"
6.39271799338894e-122,2.17974941123157,0.472,0.165,1.29305506852278e-117,"0","CD37"
3.71516362527262e-121,0.957407844492149,0.929,0.755,7.51466146483893e-117,"0","GNAI2"
3.80332011967565e-121,2.77077233259721,0.356,0.085,7.69297560606794e-117,"0","ACKR1"
6.81692055855631e-121,1.63283467614298,0.66,0.37,1.37885852137919e-116,"0","ZFP36L2"
5.05420820103533e-120,0.844995550467649,0.981,0.856,1.02231469282342e-115,"0","S100A4"
2.53741323744364e-118,0.578137699245582,1,0.994,5.13242575537725e-114,"0","RPL27A"
2.68645659233122e-118,1.95086329499039,0.528,0.216,5.43389574930836e-114,"0","CXCL12"
3.40611003377549e-118,1.34437836028531,0.764,0.499,6.88953876531769e-114,"0","LRP1"
4.45830199528471e-117,1.8568624169346,0.56,0.25,9.01780744586239e-113,"0","STAB1"
2.81043692732474e-116,1.66382914436645,0.634,0.356,5.68467077289974e-112,"0","PLEKHO1"
2.94510154156508e-116,2.38241019315252,0.372,0.099,5.95705688812369e-112,"0","NKG7"
5.2615583860808e-115,1.52313147552649,0.692,0.437,1.06425541475256e-110,"0","COTL1"
8.4156006831728e-115,2.00425428068122,0.493,0.192,1.70222355018536e-110,"0","HCLS1"
1.40501663023667e-114,2.04874436603566,0.47,0.172,2.84192713797972e-110,"0","GYPC"
2.15325431801336e-114,2.2375283033884,0.406,0.122,4.35538750904563e-110,"0","CD48"
